true_sigma,predicted_sigma
0.776146435044474,0.7948900814799796
0.9425957328628765,0.7713193524925948
0.8206692115761465,1.016958266588668
0.19018897474807842,0.1876605969544513
0.5084985583742588,0.3977556741105521
0.11814612062864584,0.10330111021547317
0.18110446920828333,0.1652139813421064
0.5244044006216697,0.5044983985627499
0.922777932950988,0.7301378749825971
0.8839114166035436,0.6470016764855364
0.5371726766992565,0.4501451291225543
0.9340408815536693,0.9242005570518009
0.9877534328346919,1.3983877963901512
0.9121088886817212,0.8190823228342494
0.47511897643502915,0.4226942177166843
0.09208529970626846,0.0949333801376482
0.3356833134703373,0.18538047826490658
0.15521387373982365,0.2647678901717259
0.9528532145312245,0.8147386192187581
0.26334035078051476,0.2374090577327419
0.11397030082187011,0.15768229390902963
0.6169274238289404,0.5006347394279588
0.6360161431962708,0.5626686796943818
0.8749779897481285,0.732164170464623
0.17902445758379976,0.22169992846166753
0.9865617465058797,0.9418557268332522
0.2853147394348916,0.24278949211129586
0.36582589366650353,0.40128607324232063
0.1047205442643257,0.15547918262977192
0.42085914265599716,0.29986986262481014
0.0908544023999928,0.17929165378037262
0.09001400572539303,0.08462241365791615
0.40596714317481286,0.24002322546232974
0.8025245910975779,0.91345307536569
0.6979124505617547,0.588227261497315
0.42378052857646686,0.2951158642045845
0.09001179573082889,0.10060683933268598
0.6013889610492282,0.5402539209982271
0.3236343866809567,0.3705444874071792
0.5318132413912551,0.4736215310757771
0.43690852477871644,0.45122509884307654
0.6889001935601325,0.8969185605778236
0.09315136386045315,0.11583686540122903
0.14039004212139275,0.12482517904759623
0.0990951001813874,0.2405093328480103
0.09420671249726695,0.07875480768536351
0.9684077016443393,0.918016443195802
0.6883751818330097,0.6120660845610444
0.9376847136964527,0.790021401356572
0.17088208798974963,0.1620591467837281
0.2244137281660609,0.3114519569893084
0.1216588939538888,0.16611410642978508
0.17502517696705125,0.1785676033855116
0.16522271983003814,0.23739383309292375
0.8861085906260991,0.8553599557015076
0.4370914510319307,0.406092415780176
0.12094173742708748,0.15308874264199201
0.8000042700458708,0.6848923289348496
0.8864167933659689,1.0916457440069478
0.10649960880647928,0.1683408696179553
0.9202615532220043,0.8869751087957368
0.09472837715712606,0.12258266167433893
0.6326627960198863,0.5903693133523631
0.34159023112453146,0.30991127604942303
0.09073255691970968,0.17483832648388484
0.9869397459309595,0.8956695597973906
0.43584302422413435,0.4732123780955324
0.6710292934408552,0.6595037217315626
0.9016155072647051,0.9288915782420295
0.36299727849873975,0.32932999047050204
0.7650700080725824,0.7306820792372357
0.8470205985566517,0.7301858075046855
0.11840424839654609,0.12384733888956076
0.1805979974464007,0.15034750864966512
0.9054457159263514,0.6655403109242447
0.12764439964366817,0.16604430273601406
0.09188606925609925,0.19119957846182847
0.12919084916424975,0.15692098253958972
0.09419101962693309,0.2550268643457971
0.09181907984530682,0.07695904997443084
0.9378525208552132,1.1929571836111126
0.9709409321338697,1.1375112001263414
0.8109155056220672,0.6319131048679423
0.460594712792916,0.37712723757481315
0.5468872865828428,0.5719787502982359
0.9838521217763809,0.8716393533910564
0.1345240324363601,0.1807950142747109
0.9407781245390803,1.1983817731570783
0.12696993455857306,0.1622491798003059
0.7044326074515079,0.5967706191180452
0.1415380589646458,0.24443840102206363
0.8082204293737338,0.6525070620820806
0.9795451191055182,1.0656611811444938
0.9165098397806103,0.959753836703846
0.5283632958498002,0.4821840356666019
0.39270919609431504,0.4244726325754388
0.09422940291247464,0.18527792556008452
0.10645473352300434,0.1426543355685128
0.12338382582560475,0.09853789274658285
0.10237094425913627,0.10104611655126983
0.6126982506707493,0.45160578896780834
0.10668246112675724,0.2044442139213538
0.1884631726345608,0.21873672700262423
0.6133157890272153,0.45027089734193565
0.5332992822236186,0.4138853480482285
0.7224552120564177,0.6905401359217472
0.9239416223903948,0.9848379778534876
0.3138881477108103,0.2718024950697775
0.5165864558413831,0.617178453385219
0.20159738572287306,0.18557551641988093
0.7599849916234106,0.6614924323418173
0.7734929101391447,0.5591140340552391
0.46816618940794846,0.42569669415620714
0.3075018377098284,0.30692459527106425
0.1467839633071006,0.16415419487827695
0.49578639385511014,0.4594702489211703
0.09001813444137828,0.10151269869766083
0.43822186987345146,0.6367218921328093
0.3076345913671344,0.2807023350947032
0.9593454509095843,0.8808041371924025
0.8394647645956353,0.8989854354665969
0.2777198951136421,0.24138668456961707
0.24198952790881476,0.24113747832730162
0.1135771527013804,0.09816641405353028
0.22838756217775896,0.24884241571164892
0.9161745546356979,0.7929851135882413
0.36943224405785,0.32471539306857655
