run,seed,sample_size,train_size,validation_size,test_size,residual_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma,training_seconds,inference_ms_per_sample,best_validation_score,best_restart,epochs_trained
51,2077,100,33,33,34,0.4464987043535744,0.09908160400490484,-0.10786453176518765,0.18676848962891,0.14558416669861451,0.3446431773067757,0.2437335839786101,0.001339470412965645,0.1904122735797986,2,11
52,2078,100,33,33,34,0.3676160232050101,0.1412513897993444,-0.06409477444726279,0.1726285903625205,0.18124852298856164,0.33304973618637035,0.24995858399779536,0.0013321174158002524,0.1762546446980265,1,9
53,2079,100,33,33,34,0.6768699663433778,0.23073801692657595,1.817156562943465,0.3065810743457291,0.25019974796247757,0.2904087364125783,0.21181641600560397,0.0013296470141914837,0.21303257564366618,1,5
54,2080,100,33,33,34,0.6354872013111021,0.26767250118383584,0.8305726995348968,0.34303550714863695,0.17525649062826332,0.5079610024763763,0.3408930840087123,0.001415441682397881,0.18055490120778186,1,36
55,2081,100,33,33,34,0.6567946894965068,0.2768899923854085,1.4523880577808155,0.30049891281267066,0.21869158835623637,0.23184870258376633,0.22605399999883957,0.001839470796232276,0.1310556376752939,2,6
56,2082,100,33,33,34,0.68517502717434,0.45499590750087465,6.198309468273894,0.4416319523035534,0.2703542616763523,0.22491361245818606,0.18519575000391342,0.0018848231240340015,0.29450158970310675,1,1
57,2083,100,33,33,34,0.3321162172299867,0.2323321862314131,-0.12395958418000837,0.1585980085842895,0.1955483781519135,0.23206643163168592,0.5014927920128684,0.0015159414889400497,0.09969669035702756,1,27
58,2084,100,33,33,34,0.6911249815398359,0.1854904562243716,0.6612760512552335,0.31119312623407563,0.18115361339537228,0.28089920320937584,0.3490219580125995,0.0014522058122298297,0.15689513462372867,3,32
59,2085,100,33,33,34,0.3820704137694936,0.24193664136273052,0.1705106264340597,0.19403276966488103,0.21791037536095004,0.2832619141319161,0.3033676250197459,0.0015085876357796438,0.16265813419268543,4,9
60,2086,100,33,33,34,0.35743117726482726,0.27343490501725887,0.11699492335096814,0.17139229114750554,0.12775824611803993,0.3828513393321733,0.2057692089874763,0.0018750005812548539,0.20272912794386075,4,5
61,2087,100,33,33,34,0.4885103548651063,0.15957500616994946,0.9677751144629738,0.23341982045709042,0.1646459847255315,0.40597519667488263,0.29504829199868254,0.0016764705137842719,0.14041405446771066,1,11
62,2088,100,33,33,34,0.4976901043399247,0.26273661632608875,0.5925892531044591,0.2664880643050095,0.3772283277601234,0.37063832208936803,0.46314699997310527,0.0013982943902887842,0.1630009314227429,1,28
63,2089,100,33,33,34,0.5772559148794857,0.2931540988096339,0.9517824441843791,0.2732473735740659,0.21587984910671537,0.24434585641595094,0.18040529199060984,0.0013933826909017038,0.16044079393905822,0,4
64,2090,100,33,33,34,0.699555790921094,0.4629788153303089,1.1132291894233255,0.41415063826902465,0.14065129073854554,0.7531681982226598,0.18108937499346212,0.0013590590028530534,0.23720146330453293,1,11
65,2091,100,33,33,34,0.7887641238276779,0.426067375447737,7.466168399119098,0.44603673891714957,0.427275369792535,0.24576875494113867,0.12850029199034907,0.0014632353079779184,0.27589688317057875,0,1
66,2092,100,33,33,34,0.40893640085514577,0.30737382394761864,2.008591884236436,0.22853413137571674,0.1841216494282557,0.21067243895895507,0.12972008300130256,0.001366412000018446,0.24821567230233293,1,1
67,2093,100,33,33,34,0.7301810804317149,0.2335682527705114,1.966121572080392,0.28888676270323826,0.1667773895477519,0.23245064191996861,0.15702420799061656,0.0013590590028530534,0.13397349271902287,4,3
68,2094,100,33,33,34,0.42082643472727266,0.16262799881846293,-0.07061505850744497,0.1998943988320912,0.17065531060027478,0.3914754082284804,0.20780408300925046,0.0012892354896072956,0.18756799396787407,4,5
69,2095,100,33,33,34,0.874653092785855,0.3905299384445178,20.32170643424703,0.4874867321278639,0.2646569021613774,0.18080441111144208,0.12622016700333916,0.0014607940101996064,0.40699478340470935,4,1
70,2096,100,33,33,34,0.688382091854116,0.40418288027997074,2.989472020118601,0.3517153515348961,0.14989211050959475,0.3549986415883841,0.12794854200910777,0.0013700884986011421,0.22863888067460297,3,1
71,2097,100,33,33,34,0.5148572032687943,0.13731718059653134,0.3950142745676545,0.2556520897590806,0.19715185926601492,0.476269246164814,0.3282779169967398,0.0015048828893615043,0.14254639411419004,2,10
72,2098,100,33,33,34,0.9545561155164467,0.19759321312651795,1.5210358822218544,0.43423177752928416,0.24614390884824755,0.2619474308615911,0.42089762500836514,0.0012855298871941427,0.18013209028258856,4,23
73,2099,100,33,33,34,0.607288375930318,0.1803617853104024,0.21602031544148675,0.2557423614937046,0.18110594226644483,0.4098482701447113,0.6253486250061542,0.0014583236085908377,0.17411303022680913,2,28
74,2100,100,33,33,34,0.6055634205897099,0.16864008098603941,0.34933740954780423,0.2769012959567106,0.16414011519713012,0.4237740041231066,0.22202799998922274,0.0013186175184433952,0.15897358247207669,0,11
75,2101,100,33,33,34,0.8994764303789534,0.3924287846745692,3.0459954045336604,0.4883035353639779,0.19833477409253875,0.38933352105419644,0.12853737498517148,0.0013970591894844,0.2661422595479774,3,1
76,2102,100,33,33,34,0.5019783881144968,0.2590240858437927,0.41919384898416934,0.24807053672669876,0.09915689037076403,0.3680545749100793,0.266989708004985,0.0014852942994740955,0.13880906520158687,1,4
77,2103,100,33,33,34,0.3566114863357538,0.23422418556432434,0.5287703126298846,0.13854485434853578,0.27993965686192307,0.11306058874147422,0.4202107090095524,0.001441176316481741,0.14582590069379142,4,11
78,2104,100,33,33,34,0.6656507027564964,0.4026574692025579,2.4371326785079703,0.3422406217479756,0.2869425565615331,0.35745779088629026,0.13640437499270774,0.0012438823058105568,0.29835343639962153,0,1
79,2105,100,33,33,34,0.5585747173741809,0.2603212802770111,0.6998044368154264,0.30557519180021614,0.2099860897614445,0.4846535380853041,0.21368433398311026,0.0013897061923190074,0.14899227311980617,0,14
80,2106,100,33,33,34,0.5105037705926267,0.13670557005208356,0.22096159843189114,0.23622276459539673,0.27070349805350646,0.3345299347338626,0.3308384159754496,0.0014705883051433107,0.15060238139847787,1,8
81,2107,100,33,33,34,0.9886447384636299,0.32016785645874907,1.7516270317010463,0.4725265360217615,0.2532135833147964,0.3529226391360897,0.3757992920000106,0.0013602942036574379,0.15089175596092175,0,16
82,2108,100,33,33,34,0.4458092049452185,0.13931787380217414,0.20296825437031785,0.20686619318006885,0.1933072297879468,0.40780324326265627,0.6199852080026176,0.001363970702240134,0.20922880493826124,1,49
83,2109,100,33,33,34,0.39382932323260433,0.12438213749653775,-0.3142350923629472,0.16354398004339593,0.13164448480803848,0.2625363299814965,0.4450694589759223,0.0016188534894300735,0.22029609853754945,1,16
84,2110,100,33,33,34,0.5323931269648905,0.12835643227481433,0.08078671297935483,0.22037413337170972,0.20148113980768723,0.3653676465309853,0.32021712500136346,0.0014448528150644373,0.1673687127291129,0,13
85,2111,100,33,33,34,0.804369617321653,0.2921490336588461,1.6177922875980917,0.4164311888764748,0.34145230864401,0.38390869069831385,0.18002216701279394,0.0013933818349066902,0.11942091051995399,2,5
86,2112,100,33,33,34,0.6540832010425406,0.20783418318441785,0.41060741882372725,0.3069487501838377,0.20926595126619996,0.3317073283840538,0.3816401250078343,0.0014338233193163486,0.17696377141873307,4,14
87,2113,100,33,33,34,0.3759976227147145,0.29789565945572993,0.5059886981149365,0.21394639939828872,0.15306412414051562,0.3080406825557144,0.13909987499937415,0.0014117643278201714,0.21954792905557494,4,2
88,2114,100,33,33,34,0.5750566654970907,0.2853460494991298,0.7938614751131237,0.27028343839357244,0.12319863190734053,0.24196093291911822,0.17040341699612327,0.0013063819257213788,0.1573422504243149,4,4
89,2115,100,33,33,34,0.3480799520244155,0.1722295136972538,-0.04672875989266373,0.16139081798113045,0.21650883428540446,0.22746050052240652,0.4307235000014771,0.0014767052455093054,0.18438702069501842,4,33
90,2116,100,33,33,34,0.5180740759320607,0.33188963565528007,1.3601674419821663,0.2767588002581122,0.13037544507298332,0.47100350427570337,0.6632730419805739,0.0014350585201207328,0.13561917104290877,0,46
91,2117,100,33,33,34,0.5051271410847991,0.2004663179906228,0.21601477364116964,0.23357027113758055,0.11491261425091931,0.38411310260726766,0.6914750830037519,0.0014203533817849616,0.15657824738074225,1,42
92,2118,100,33,33,34,0.5534814862512151,0.31505056387158503,4.472081978248413,0.2613044592170586,0.21628461911646496,0.12970513265430786,0.19652941700769588,0.0014203533817849616,0.18679961955938298,3,10
93,2119,100,33,33,34,0.47320202919698906,0.12029160608827814,1.1295666499485595,0.22382202381493688,0.2539651870497156,0.35263399410982493,0.4140361669997219,0.0013835883959579993,0.1650973427736655,0,20
94,2120,100,33,33,34,0.7808218392414006,0.43835548332541185,14.823402398611384,0.43952194579331944,0.3137658736181943,0.18097557392254973,0.09049645799677819,0.001415441682397881,0.2635269131625084,2,1
95,2121,100,33,33,34,0.4549605608410627,0.26633234134436806,0.29893856483123127,0.20813037926950367,0.14576536266169338,0.36045053611902284,0.17707037497893907,0.0012941180851639195,0.2169762855762957,2,4
96,2122,100,33,33,34,0.45075361816364695,0.3204186686905187,0.5537247005871208,0.24658679016493903,0.23414569793048468,0.3783616454889141,0.185242792009376,0.0010269706014215069,0.14236494952600406,1,5
97,2123,100,33,33,34,0.8087125128218294,0.29541834705538317,3.486503433395617,0.35026674127562246,0.2018628789082074,0.17185191418038526,0.2614581670204643,0.0013799118973753031,0.2949790790758085,3,7
98,2124,100,33,33,34,0.533643394743709,0.5423999928470468,0.4004096467785757,0.27425274801833754,0.27120943009865023,0.6515663191601104,0.4384528750088066,0.0016825874541502666,0.18616468116504084,3,25
99,2125,100,33,33,34,0.7382966394576163,0.4099498920704838,16.339793503454043,0.5068966298345963,0.4149000085220216,0.19425288725618595,0.12752966600237414,0.0014534119092037574,0.4005824060209696,0,1
