run,seed,train_size,validation_size,test_size,polynomial_order,mean_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma
72,2098,33,33,34,2,0.9545561155164467,0.3498697776061781,5.808143207021983,0.46922946325098874,0.24582002176402196,0.2135323624157913
73,2099,33,33,34,2,0.607288375930318,0.29472463079387173,0.6568677248289193,0.2902038523231304,0.18777257414280357,0.39388395928004766
74,2100,33,33,34,2,0.6055634205897099,0.3375111121459424,1.116592945876244,0.29654858451693294,0.22436748364292436,0.2641380415514787
75,2101,33,33,34,2,0.8994764303789534,0.2667861967345184,2.5616207385561616,0.4845305858672197,0.28744154178570325,0.29340088787784363
76,2102,33,33,34,2,0.5019783881144968,0.2878925566359401,0.5448443057814502,0.2520246296419568,0.10877681882498691,0.3402882486831402
77,2103,33,33,34,2,0.3566114863357538,0.31058825714313687,3.7470409692961786,0.15225188768708578,0.22489442778982183,0.10412197883336867
78,2104,33,33,34,2,0.6656507027564964,0.3219747696944474,2.361048780575809,0.31720536737810173,0.17991806183658976,0.20503942121157542
79,2105,33,33,34,2,0.5585747173741809,0.37336509317124217,1.3152735561204636,0.3088959438122488,0.17527732460067863,0.5297236277591751
80,2106,33,33,34,2,0.5105037705926267,0.28509758017015485,0.5882468389260084,0.25652963359710457,0.23719062833863375,0.36179482622474
81,2107,33,33,34,2,0.9886447384636299,0.44329299474948397,6.885184598538714,0.5257609318670728,0.3437058143938949,0.21404148790858918
82,2108,33,33,34,2,0.4458092049452185,0.2862585785773128,0.6262032164547677,0.2355085919125096,0.23706303072041268,0.29121713122256465
83,2109,33,33,34,2,0.39382932323260433,0.28937602394280415,0.157957771346652,0.18640665004936136,0.14341829267758321,0.2908862918396796
84,2110,33,33,34,2,0.5323931269648905,0.31946182184946126,1.849865079176004,0.25941277098097115,0.1465559857797606,0.26003066576945916
85,2111,33,33,34,2,0.804369617321653,0.33200506794211715,1.934474322555361,0.42735481340255843,0.3347813742978899,0.3711928743398118
86,2112,33,33,34,2,0.6540832010425406,0.39132939074802214,1.4136356935592695,0.34163705366123726,0.19525490163027007,0.34319623881782
87,2113,33,33,34,2,0.3759976227147145,0.26154479826244337,0.9872216228842341,0.21460923910966695,0.1620052335543879,0.2738397571047896
88,2114,33,33,34,2,0.5750566654970907,0.33110411181825683,1.448344974477252,0.2782587947236912,0.12382730488350119,0.2336860182003969
89,2115,33,33,34,2,0.3480799520244155,0.2874664936815301,0.45385829348110573,0.18014718190515333,0.19762781980578625,0.22241454133804106
90,2116,33,33,34,2,0.5180740759320607,0.38013299601505707,1.495351893359768,0.27705995068284794,0.16552857146457642,0.22151346836215355
91,2117,33,33,34,2,0.5051271410847991,0.3181261952238121,0.7056852656331815,0.260518700864229,0.09318851279053786,0.3329350247326297
92,2118,33,33,34,2,0.5534814862512151,0.35773939406742344,7.1803372141251085,0.27192305421739366,0.2215633297842081,0.10485093691582371
93,2119,33,33,34,2,0.47320202919698906,0.2944369268682307,5.764499723149847,0.2425170598619042,0.17519586867108894,0.39815721189514697
94,2120,33,33,34,2,0.7808218392414006,0.5198146584520985,5634426.266563842,0.4914120384294658,0.7058823529411764,0.0002515292024320607
95,2121,33,33,34,2,0.4549605608410627,0.4349057570195123,0.6662376816804668,0.2313289182926194,0.1995093117932264,0.5028225941610319
96,2122,33,33,34,2,0.45075361816364695,0.32372196081713006,0.5595004356933215,0.24694154373664573,0.23792835352561637,0.3709802213544164
97,2123,33,33,34,2,0.8087125128218294,0.35859012594856926,17.144907248872748,0.3677951782906601,0.25989137271021323,0.12431973688259625
98,2124,33,33,34,2,0.533643394743709,0.2953137478976011,0.48455768321652526,0.2704047966557517,0.24241956516006297,0.4100092528413719
99,2125,33,33,34,2,0.7382966394576163,0.4441648721153276,85080.51253172237,0.5966281025555841,0.6764705882352942,0.004463499049613044
