run,seed,train_size,validation_size,test_size,polynomial_order,mean_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma
52,2078,33,33,34,2,0.5828560571307653,0.29946208650077266,0.7772603770583442,0.3219428377688121,0.13419241247553237,0.5550042726969834
53,2079,33,33,34,2,0.648952088277466,0.206318549157088,1.6222709515132852,0.37958709171701593,0.24305726107661085,0.4285087722256326
54,2080,33,33,34,2,0.6414949611060687,0.31985485532693986,0.9636208931777427,0.34063884261981037,0.09664852862695339,0.5056954688555395
55,2081,33,33,34,2,0.4083586990589914,0.2116063703706043,0.41837468845737924,0.2144207093134255,0.08030860788744343,0.39441506691294714
56,2082,33,33,34,2,0.41909828463746773,0.1737716186932751,0.17212401546776276,0.18784597039405307,0.21621659401068233,0.303971550987645
57,2083,33,33,34,2,0.4539387606936992,0.25372953605442167,0.47672295135177073,0.24730907178424413,0.12565201416508615,0.3316335461509386
58,2084,33,33,34,2,0.5317606252818415,0.27741374533274116,1.5996545314407329,0.29030474772051484,0.20503127675706592,0.23719995579654884
59,2085,33,33,34,2,0.6315657479354193,0.29703308898047887,1.9128404094078968,0.3629191319376999,0.26669768346950573,0.27627210593501106
60,2086,33,33,34,2,0.7136441665831298,0.24538304386826704,0.8952339856623919,0.36080173359495227,0.1244432908223378,0.46341333633780085
61,2087,33,33,34,2,0.5395281256405338,0.31434908667467487,0.9829724770958327,0.30408383232852115,0.142246450690226,0.36538233678453824
62,2088,33,33,34,2,0.770782373138206,0.25697579136673104,0.5921509674531753,0.3358580602573624,0.37471585425518095,0.4503508021353697
63,2089,33,33,34,2,0.6883648261384622,0.29216647267398216,1.767211016288276,0.3651895043295205,0.24906218808567593,0.2785606823965084
64,2090,33,33,34,2,1.0310116248864782,0.2845153200234277,67.73833913993157,0.5500478013595049,0.3072672301480476,0.24446935019698574
65,2091,33,33,34,2,0.5867593767611077,0.41302192403761867,18.417460578065754,0.3733480828389791,0.430896548731767,0.08394467826430321
66,2092,33,33,34,2,0.5830510107625061,0.2660799749975079,1.00006643990335,0.30927034421080873,0.18093642723972947,0.3158080132721734
67,2093,33,33,34,2,0.5135996717436618,0.20652751479888182,0.9601400441401519,0.27845288247538313,0.20280017892012248,0.30571114068905886
68,2094,33,33,34,2,0.6033394934384692,0.20470915649042168,1.8660383731325902,0.34708334833357696,0.23600404919537687,0.3142771937277576
69,2095,33,33,34,2,0.5330250185274299,0.40864239767966987,0.828318380936964,0.3059501272077263,0.1991854084991631,0.5891834808518193
70,2096,33,33,34,2,0.7609804123429367,0.35042574542778265,3.153741909896161,0.4540707026397293,0.37542258188966915,0.2326611239528398
71,2097,33,33,34,3,0.6323609267431688,0.2981477609467886,0.3489233748042379,0.2721292690431715,0.19540967549035226,0.4743345734867713
72,2098,33,33,34,2,0.6193166651715557,0.21795357078259825,1.8500646330351662,0.3588308924803004,0.3791346832862726,0.32339112368056266
73,2099,33,33,34,2,0.7269993015522225,0.3868208472524162,6.327023334811364,0.4176033020414239,0.30107354442500533,0.1719750988804185
74,2100,33,33,34,2,0.48970259893899276,0.25510197338720114,0.7300064729830369,0.2765305471596331,0.22449806202504696,0.6175992864337397
75,2101,33,33,34,2,0.8679496875518661,0.17725881360777562,1.6042548301294737,0.4379719861377807,0.20865141648081897,0.36747164745150207
76,2102,33,33,34,2,0.32394327421304103,0.19187828200637705,0.17714817660573182,0.17338621336445814,0.15247383883679522,0.4107368124315859
77,2103,33,33,34,2,1.1218475325033705,0.21635778829829047,2.016402756010189,0.5678477239870866,0.30406879106656803,0.45724513312006493
78,2104,33,33,34,2,0.6049870066642742,0.2800844428535113,1.3235645338832107,0.3049687011119748,0.17959063384623708,0.29997583847238923
79,2105,33,33,34,2,0.8985991038684228,0.32607929942158564,1.2214438208537937,0.4670965581930182,0.26874291805866235,0.5135483498427239
80,2106,33,33,34,2,0.5048509176714714,0.3321237501827564,1.609264765813214,0.30244397910359044,0.39808250862088324,0.21338407653621055
81,2107,33,33,34,2,0.7209921197732126,0.4280656328277308,0.8575848884009288,0.371274677019114,0.19923968291255345,0.7338859147449259
82,2108,33,33,34,2,0.48966491447012356,0.2656973400079284,0.4250496660463427,0.23095153996455592,0.2122120505891909,0.5309036082855545
83,2109,33,33,34,2,0.6584856326637292,0.24569941940528506,0.9340527347621005,0.3386580249174024,0.12015483685972683,0.47573861885796126
84,2110,33,33,34,2,0.4592270242949254,0.19727560989614126,0.49534915239375754,0.235270129861273,0.12153856454513134,0.4245756325224434
85,2111,33,33,34,2,0.6852154752638823,0.1800727430307603,1.3086310895632436,0.3685578464253882,0.27465701374283885,0.3343333012819399
86,2112,33,33,34,2,0.6524606019223139,0.2431305381664668,0.8748329469823568,0.31281424649030265,0.2232880270694365,0.4026663795110796
87,2113,33,33,34,2,0.925842855813945,0.35530879158043593,1.3331286470944863,0.48050641103518144,0.16766371618837483,0.6083462543075031
88,2114,33,33,34,2,0.4565355711803431,0.24680401484743486,0.5763819803676531,0.2521654096564614,0.1410281751006598,0.3457294080902813
89,2115,33,33,34,2,0.535547276394135,0.22386057156282915,1.2069356934119857,0.2930984866585774,0.18811916432241121,0.26210119394536213
90,2116,33,33,34,2,0.3323783657909491,0.13118615289871066,1.8026785192534611,0.19070940506182116,0.1321866085357251,0.3802545620503482
91,2117,33,33,34,2,1.151096943618059,0.313189208411573,4.211800053792565,0.6188331554385277,0.29081571844329723,0.2938587002886834
92,2118,33,33,34,2,0.5834966975420475,0.29747498156446645,1.6088672829246178,0.31481594743408187,0.24421602857305813,0.24891043565644796
93,2119,33,33,34,2,0.4312124687871308,0.32992401535308946,0.430024345407557,0.23777913384328841,0.1572035839004069,0.5839171069632674
94,2120,33,33,34,2,0.4021091622612028,0.2891288502375901,0.329636943075297,0.21719969318664314,0.18145696712544523,0.44520294505171826
95,2121,33,33,34,2,0.72594337245818,0.49757701430418044,110.32330356024377,0.4659820024597486,0.427124504722642,0.05366569488234447
96,2122,33,33,34,2,0.8345960413498583,0.21866370885379946,1.8037901570497277,0.4111947254327848,0.27416313242469553,0.32254426239977046
97,2123,33,33,34,2,0.608417804259125,0.19035886458782833,1.2575158529933406,0.33097632943453975,0.22148727624015618,0.2990403247059498
98,2124,33,33,34,2,0.9774734390243461,0.32138223252477294,12.02118601682804,0.5638007883089101,0.43162393573956337,0.18343211121804942
99,2125,33,33,34,2,0.5689088756712843,0.22357987265665236,0.6849475615110594,0.2998880762297954,0.0912239650089034,0.5492528363379442
